No,Pengguna,Waktu,Ulasan,Label
15,FP,2021-12-03 0:47:00,BAGUS SEKALI,Positif
16,R,2021-12-03 0:58:19,Tolong perbaiki aplikasinya selalu gak bisa cek in...kl bisa cek in pun cek out sendiri🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,Negatif
17,YB,2021-12-03 1:00:43,Baik,Positif
18,PL,2021-12-03 1:01:12,Ayo vaksin kawan,Positif
19,BJ,2021-12-03 1:01:46,Ok,Positif
20,AH,2021-12-03 1:03:54,"Saya beri bintang 2 saja, setrika vaksin gak bisa muncul di aplikasi Pedulilindungi ini. Harus menghubungi ke chatbot lagi baru bisa.",Negatif
21,NR,2021-12-03 1:04:24,"Ini gimana ya sertifikat vaksin saya dua duanya ngga muncul sama sekali, padahal data yg saya cantumkan sudah akurat dan benar, mohon penjelasannya",Negatif
22,IH,2021-12-03 1:05:38,"Susah banget buat check-in, app gimana sih ini. 👎",Negatif
23,AW,2021-12-03 1:05:42,Nyoba,Positif
24,LK,2021-12-03 1:14:54,aplikasi apaaan masukkan NIK dibilang sering salah dan nama,Negatif
25,EY,2021-12-03 1:20:40,Parah ni aplikasi ribet,Negatif
26,CB,2021-12-03 1:24:33,Tanggal lahir ga bisa di isi,Negatif
27,W,2021-12-03 1:25:10,Semoga membantu amin...🤲🤲🤲,Positif
28,TY,2021-12-03 1:25:11,"Sangat membantu...,setelah vaksin kedua,hp saya kerestart jadi sms dari 191 hilang,dgn adanya pedulilindungi saya bisa buka sertifikat vaksinasi covid 19 yg kesatu dan kedua yg sempat hilang",Positif
29,SU,2021-12-03 1:26:27,"Tolong diperhatikan untuk pengisian ehac & yg lainnya...untuk bahasa pilihan sudah bahasa indonesia tapi giliran masuk ke isi2 formulirnya bahasnya B.inggiris tolong diperbaiki, kasian buat orang2 yg ga ngerti artinya",Negatif
30,SU,2021-12-03 1:28:03,Sangat membantu saya,Positif
31,EK,2021-12-03 1:28:56,"Aplikasi cacat, bikin susah...",Negatif
32,AI,2021-12-03 1:29:45,"error wae padahal jaringan bagus..sing bener atuh ngajieun aplikasi teh..jadi urang di carekan wae gara"" tara cekin",Negatif
33,AT,2021-12-03 1:30:09,Setelah divaksin semoga sehat..sicovid minggat..aminn🤲,Positif
34,SM,2021-12-03 1:37:13,Menyebalkan karna saya sama sekali tidak bisa masuk.disertifikat vaksin..,Negatif
35,HH,2021-12-03 1:42:23,Cakep...,Positif
36,BLB,2021-12-03 1:49:34,👍👍👍👍👍,Positif
37,GA,2021-12-03 1:50:21,Tidak bisa mengakses sertifikat vaksin 1/2...,Negatif
38,BD,2021-12-03 1:53:49,"Saya sudah di vaksin tgl:25:7:2021, dan sedang menunggu vaksin ke dua pada tgl:22:8: 2021, mendatang semoga vaksin nya nanti ada...",Positif
39,Y,2021-12-03 2:01:40,Ok,Positif
40,SH,2021-12-03 2:02:13,Oke,Positif
41,MK,2021-12-03 2:10:50,Baru,Positif
42,TH,2021-12-03 2:10:56,"Baik juga sangat membantu,bs melihat sertificate vaksinpertama juga vaksin kedua tinggal klick nama yg sdh di daftarkan langsung muncull.🙏👍",Positif
43,AS,2021-12-03 2:11:49,Useless,Negatif
44,FS,2021-12-03 2:12:29,"Srg eror!!! Lagi ngisi data ganti"" sendiri mulu tulisannya",Negatif
45,RKP,2021-12-03 2:19:54,Sama hasil vaksin ke 2 ga muncul padahal udah lama di vaksin ya😑😑,Negatif
46,RG,2021-12-03 2:21:58,"Boros batrai, dan aplikasi pemaksaan pemerintah harus install",Negatif
47,MG,2021-12-03 2:22:16,Keren,Positif
48,MK,2021-12-03 2:27:47,Keren hehehe,Positif
49,AM,2021-12-03 2:29:03,Capcha nganggu bantet,Negatif
50,WS,2021-12-03 2:31:28,Ngaco ni aplikasi setatus sudah vaksin ke 2 tapi sertifikat di liat aja gak bisa . Tolong lah peebaikin jngan cuman uang bansosnya aja yg di perhatiin,Negatif
51,KP,2021-12-03 2:48:48,Sinyal jelek,Negatif
52,SM,2021-12-03 2:49:46,OK,Positif
53,AP,2021-12-03 2:57:27,"setelah update masih ada bug, agak mempersulit masyarakat untuk mengakses aplikasi tersebut untuk memunculkan sertifikat vaksin, dan bug saat scan barcode lokasi, trims",Negatif
54,FL,2021-12-03 2:59:10,Mau liat sertifikat vaksin aja ga bisa.ini penipuan pemerintah namanya kalo gini,Negatif
55,AR,2021-12-03 3:00:33,Ok,Positif
56,WW,2021-12-03 3:03:14,Bagus,Positif
57,AA,2021-12-03 3:08:15,Ok,Positif
58,H,2021-12-03 3:09:16,Semangat,Positif
59,NT,2021-12-03 3:09:43,Jos bangt,Positif
60,RP,2021-12-03 3:09:47,Aku heran sama Pemerintah Indonesia rakyat Indonesia harus wajib melaksanakan vaksin lah sedangkan sholat wajib kaya mana gk di suruh .... Ini yg buat Indonesia gk maju,Negatif
61,AR,2021-12-03 3:10:49,keren,Positif
62,AP,2021-12-03 3:13:22,bapak jokowi cintaku,Positif
63,DP,2021-12-03 3:16:19,Sangat kecewa..masih banyak kekurangan ..dari scan bar code yg selalu tdk terbaca tertera diluar area google map tdk valid sampai saya yg sudah vaksin terbacanya merah alias belum vaksin..coba dah diperbaiki bug tersebut kalau memang aplikasine sudah wajib dipakai,Negatif
64,AS,2021-12-03 3:18:14,Pelayanan Sangat Memuaskan,Positif
65,DKK,2021-12-03 3:20:08,Saya sudah vaksin tapi sertifikat vaksinnya belum muncul di aplikasi sampai sekarang . Padahal sudah 3 bulan lebih .,Negatif
66,Z,2021-12-03 3:22:57,Apk lelet... daftar akun aja kode verifikasi lelet..eh pas udah ada kodenya malah kode kadaluarsa katanya..,Negatif
67,AW,2021-12-03 3:23:13,"Dasar aplikasi gk jelas,saya vaksin pertama sertifikatnya gk ada,giliran saya vaksin kedua sertifikatnya ada,gimana sih masa saya suruh vaksin lagi😭",Negatif
68,BS,2021-12-03 3:24:13,Asyik,Positif
69,RK,2021-12-03 3:24:44,"Sering gagal check-in saat scan barcode, gimna tuh solusinya, jadi kesel saat kereta datang, gw masih scan barcode tapi gagal mulu",Negatif
70,AA,2021-12-03 3:25:47,"Buang-buang batre, UI UXnya jelek",Negatif
71,YL,2021-12-03 3:31:13,👍🏻,Positif
72,RY,2021-12-03 3:33:21,Aku sudh paksin dan saya sehat,Positif
73,KB,2021-12-03 3:33:35,"Bisa perbaiki bug nya?? mau klaim sertifikat terjadi bug pengubahan tanggal lahir,sering berubah sendiri ketika menekan kode capcha tolong perbaiki Ya bosku!",Negatif
74,IGNA,2021-12-03 3:37:38,Lumayan cuma masih agak ribet utk ngisi form2nya..smoga baik berguna utk kedepannya tdk hanya utk epidemi covid ini..tapi epidemi2 lainnya..ya smoga aja tidak ada lagilah..cukup covid aja..udah bikin susah rakyat selama 2 th!!,Negatif
75,RAN,2021-12-03 3:39:06,"Aplikasi jwlwk amat ya, download aja susah belum yg lainnya",Negatif
76,HC,2021-12-03 3:39:45,"Aplikasi yang susah dibuka padahal jaringan bagus dan byk kendala yg lain. Kalo mau bikin aplikasi jgn buat segelintir orang lalu diterbitkan, Rakyat Indonesia itu ratusan juta manusia. Tolong diperbaiki.",Negatif
77,FS,2021-12-03 3:41:18,Sampai sekarang sertifikat nya ga ada padahal udah vaksin yang kedua,Negatif
78,SM,2021-12-03 3:41:31,"Sertifikat sudah masuk semua 2x dosis,",Positif
79,RH,2021-12-03 3:42:10,Kecewa,Negatif
80,BH,2021-12-03 3:43:53,"Tidak semua berakhir kecewa,saya sangat berterima kasih sekali segala permasalahan saya sudah bisa di atasi karena anda semua...gk bisa berkata2 lg sekali lagi Terima kasih banyak semoga pedulilindungin selalu berjaya...",Positif
81,TS,2021-12-03 3:45:35,Sangat membantu sekali untuk saya dan warga negara republik indonesia.,Positif
82,SS,2021-12-03 3:48:15,Oke,Positif
83,AM,2021-12-03 3:48:54,Aplikasinya enak ga ribet,Positif
84,NCUF,2021-12-03 3:49:22,Subhanalohu Akbar Allahumma Solli Alaa Sayyidina Muhammad SAW Amin Yarobbal Alamin Semangat Kompak Buat Seluruh Rakyat Indonesia Raya NKRI Pancasila Sakti Sejati Terbukti Semangat Kompak Sukses selalu Vaksin Cavid Corona Semangat Kompak Seluruh Rakyat Indonesia Raya NKRI Pancasila Sakti Sejati Terbukti Subhanalohu Akbar Allahumma Solli Alaa Sayyidina Muhammad SAW Amin Yarobbal Alamin 🤲🙏👍👍🤝,Positif
85,RI,2021-12-03 3:51:28,Aplikasi ya cukup membantu,Positif
86,WM,2021-12-03 3:52:57,"Aplikasi burik, bikin susa aja, suda 2 bulan slsai vaksin tapi blm muncul juga di aplikasi,",Negatif
87,CK,2021-12-03 3:53:27,Saya udah di vaksin pertama Tapi di apk data ga di temukan,Negatif
88,LR,2021-12-03 3:56:44,Aplikasi bobrok,Negatif
89,DW,2021-12-03 3:57:00,Aplikasi gk jelas...,Negatif
90,FM,2021-12-03 3:57:33,Jelek,Negatif
91,CO,2021-12-03 3:58:15,Aplikasi eror gabisa klaim sertifikat,Negatif
92,TF,2021-12-03 3:59:45,tidak bagus,Negatif
93,RH,2021-12-03 3:59:47,"Sangat kecewa,vaksin saya tidak di akui..sertifikat tidak keluar di aplikasi",Negatif
94,TW,2021-12-03 4:00:11,"Bagus banget,,,,,,, 👍👍",Positif
95,RS,2021-12-03 4:00:25,Ribet mau pergi aja harus tes pcr,Negatif
96,O,2021-12-03 4:10:46,Kecewaaaaaa Untuk apa pake aplikasi Bukannya mempermudah tapi malah mempersulit Tdk sesuai👎,Negatif
97,YMY,2021-12-03 4:12:59,oke,Positif
98,AK,2021-12-03 4:15:51,Aplikasi belum sempurna malah susah. Sudah di isi berkali-kali berhari-hari tetap aja nda bisa,Negatif
99,VM,2021-12-03 4:20:27,Sangat membantu wni terlindungi dari covid19,Positif
100,DAP,2021-12-03 4:22:45,bagus,Positif
101,MMU,2021-12-03 4:23:29,Rouwet,Negatif
102,CA,2021-12-03 4:24:44,bagus,Positif
103,R,2021-12-03 4:32:03,"Tidak bisa buka sertifikat,katanya sesuai kan dgn ktp padahal sudah sesuai,tolong apknya diperbaiki",Negatif
104,SS,2021-12-03 4:33:19,Mantap,Positif
105,CJP,2021-12-03 4:33:31,👍🏻,Positif
106,KL,2021-12-03 4:34:01,Gak bisa lihat sertifikat vaksin. Coba lagi beberapa saat Aplikasi terhenti.,Negatif
107,S,2021-12-03 4:41:35,"Pengaturan tgl lahir ribet, jelek bgt",Negatif
108,AK,2021-12-03 4:43:08,Lemot aplikasinya,Negatif
109,FA,2021-12-03 4:47:52,"Yth Bpk/ Ibu Mohon di bantu, sdh hampir 3 bln sya buat laporan mengenai NIK sya yg dipakai orang lain, yg mengakibatkan setiap sya mau penerbangan itu di persulit karena sertifikat vaksin saya manual (kertas biru). Jika data sya di Aplikasi Bpk/Ibu itu tdk bisa di rubah atau dibenarkan atas nama sya, tolong di kasih solusi.. Dan tolong report sya ini jangan cuma di blas dengan ""MOHON MAAF"". kalau kaya gini terus sma saja Tidak PEDULI dan Tidak MELINDUNGI saya. Terima Kasih !!!",Negatif
110,RMA,2021-12-03 4:51:36,"Sering gagal check-in, bahkan gak pernah bisa check-in,,, heheh gak tau kenapa, tapi ya sudah lah penting lolos terus kemana-mana, karena ini hanya formalitas kali yaa,, hehe",Negatif
111,WW,2021-12-03 4:52:15,Bagus,Positif
112,VC,2021-12-03 5:11:49,Sangat membantu,Positif
113,AO,2021-12-03 5:12:09,Aplikasi ini baguus,Positif
114,CW,2021-12-03 5:12:13,Sangat membantu dan bermanfaat,Positif
115,RG,2021-12-03 5:14:17,cara masuknya ribet gaak kaya dulu rubah lagi yg aplikasi awal aj jgan bikin susah payah parah intal doang aj berat payah bener aplikasi kurang bagus,Negatif
116,NK,2021-12-03 5:17:55,Ribet,Negatif
117,AR,2021-12-03 5:20:37,Min. Usulan saya. Tolong tambah kan untuk mendownload sertifikat orang lain yg menggunakan nomor yg sama. ( Karna calon vaksin tidak semua memiliki nomor hp apa lagi hp android ) Contoh saja nenek dan kakek saya tidak punya hp.,Negatif
118,CF,2021-12-03 5:33:08,"Gatau, kadg bisa kadang enggak . Kuota keluar banyak. Harus update terus . Semoga lebih baik. Aku udah 5 kali gedung nggak bisa check in.",Negatif
119,FS,2021-12-03 5:37:06,Oke,Positif
120,PM,2021-12-03 5:52:21,Good aplication,Positif
121,CD,2021-12-03 5:52:46,sangat puaa,Positif
122,BA,2021-12-03 5:54:08,Sangat 👍👍👍👍👍,Positif
123,K,2021-12-03 5:55:05,Aplikasi gk guna Masa selalu terjadi masalah kok terus,Negatif
124,AT,2021-12-03 6:00:03,"Ada maslah apalagi ini, kok setiap mau scan popup ijin kamera selalu muncul, padahal ijin kamera di aplikasi sdh on, ribet dong kalau begini. Kirim email emang ada respon, email gw 1 tahun yg lalu aja sampai skrg ga di respon",Negatif
125,OD,2021-12-03 6:01:41,Kecewa. Ngecek sertifikat vaksin gak bisa bisa. Yg muncul cuma vaksin pertama. Yg kedua gak muncul muncul. Mana tg pertama cuma tulisan doang gak ada gambar sertifikat nya,Negatif
126,KW,2021-12-03 6:01:47,Aplikasi tolol gak guna,Negatif
127,SM,2021-12-03 6:07:14,"Saya telah selesai vaksinasi ke2, di pencarian sudah terdaftar selesai vaksinasi ke2, tapi kenapa sertifikat vaksinasi saya tidak bisa d temukan? Apakah ini pencurian data pribadi? Jika ingin kami taat aturan, TOLONG DIPERBAIKI !!!",Negatif
128,DPC,2021-12-03 6:12:18,Sangat bermanpaat,Positif
129,PN,2021-12-03 6:13:09,SUDAH 2X VAKSIN DUA BULAN YG LALU.. SERTIFIKAT GAADA KARNA KATANYA NIK TIDAK TERDAFTAR.!.,Negatif
130,DE,2021-12-03 6:15:42,"Aplikasi kaga jelas, verifikasi captcha aja kaya mau masuk situs bokep susahnya minta ampun",Negatif
131,TM,2021-12-03 6:16:23,Aplikasi bodoh Pilih tahun dan tanggal tdk praktis,Negatif
132,BF,2021-12-03 6:19:44,"Aplikasi apa ini,daftar susah,scan QR susah,mending ngak digitalan klu belum siap,menyusahkan masyarakat aj.",Negatif
133,AC,2021-12-03 6:21:46,setifikat vaksin tidak ada,Negatif
134,PH,2021-12-03 6:23:47,𝐌𝐧𝐭𝐚𝐩,Positif
135,NG,2021-12-03 6:29:04,"Sudah vaksin ke dua, tapi di aplikasi ini tidak keluqr sertifikatnya. Kecewa",Negatif
136,AHH,2021-12-03 6:30:50,hadooooooo,Negatif
137,FC,2021-12-03 6:37:39,Saya tidak bisa klaim sertifikat vaksin ke dua. Padahal saya sudah vaksin tahap ke dua. Baru tahap pertama yang keluar,Negatif
138,AA,2021-12-03 6:37:42,Mantap sangat bermanfaat 👍🏻🙏,Positif
139,ER,2021-12-03 6:37:49,Bagus,Positif
140,ZS,2021-12-03 6:39:13,ok,Positif
141,ZW,2021-12-03 6:42:24,Bagus sekali,Positif
142,JS,2021-12-03 6:46:52,banyak yg hrus d perbaiki,Negatif
143,ZF,2021-12-03 6:47:54,Akuu sukaaa,Positif
144,GJ,2021-12-03 6:52:23,Bagus,Positif
145,IM,2021-12-03 6:54:59,Mantap,Positif
146,IH,2021-12-03 6:57:39,Untuk memasukkan tanggal lahir terlalu sulit untuk di scroll harus perbulan. Jadi kita kesulitan dan lama sekali kalo kito mau memasukkan tanggal lahir dibawah tahun 90.,Negatif
147,LS,2021-12-03 7:07:25,Sangat bagus,Positif
148,SB,2021-12-03 7:09:46,Mantaap,Positif
149,AA,2021-12-03 7:10:35,Saya sudah vaksin covid,Positif
150,SR,2021-12-03 7:13:15,Mau input tanggal lahir susah bgt,Negatif
151,IR,2021-12-03 7:27:25,Aplikasi jelek,Negatif
152,DN,2021-12-03 7:28:08,"Data tidak sesuai, nama berbeda",Negatif
153,MXX,2021-12-03 7:33:23,Hasil test swab gak pernah muncul padahan di klinik yang terafiliasi.,Negatif
154,NSK,2021-12-03 7:34:36,"Apa2an ini saya mau download sertifikat vaksin, kenapa malah ga bisa, dalam tulisan nya belum di vaksin padahal saya udah di vaksin 2x, tolong di cek lagi dan di perbaiki dong jangan mempersulit",Negatif
155,AA,2021-12-03 7:40:35,Ini aplikasi boros bener konsumsi baterai nya.,Negatif
156,D,2021-12-03 7:47:23,Aplikasi gak guna !,Negatif
157,SP,2021-12-03 7:52:35,Bagus,Positif
158,AA,2021-12-03 7:57:25,Sangat membantu,Positif
159,JA,2021-12-03 7:57:55,Top,Positif
160,TS,2021-12-03 7:58:18,Bgus,Positif
161,SM,2021-12-03 7:58:40,Good,Positif
162,TI,2021-12-03 8:02:02,Good,Positif
163,DD,2021-12-03 8:02:15,Aplikasi yang bener - bener keren habiiiss yang dibutuhkan oleh banyak orang disituasi dan kondisi sekarang ini. Terimakasih,Positif
164,JM,2021-12-03 8:03:02,Buruk maaf yah.. smoga bisa ditingkatkan..,Negatif
165,AR,2021-12-03 8:04:01,ok,Positif
166,MS,2021-12-03 8:19:59,Sip semoga lebih baik,Positif
167,A,2021-12-03 8:22:31,Sangat mendukung dalam aktfs sehari hari,Positif
168,VD,2021-12-03 8:24:20,Aplikasinya gak bs di download,Negatif
169,VARXM,2021-12-03 8:25:09,Susah,Negatif
170,ASC,2021-12-03 8:27:14,Mantap! Sukses selalu,Positif
171,EH,2021-12-03 8:32:31,"Bagi teman-teman yang baru vaksin tunggu 2-3 hari dulu baru daftar aplikasinya jika sudah daftar isi lengkap data pribadi, lalu masuk lewat link SMS yang dikirim 1199, semoga membantu",Positif
172,FU,2021-12-03 8:37:56,Kok ga bisa sih,Negatif
173,KB,2021-12-03 8:45:40,"Ada 2 akun, jadi disangkanya masih merah dan tidak bisa scan barcode (dilarang masuk) 😭😭",Negatif
174,SR,2021-12-03 8:45:57,Alhamdulillah selalu dinikmati aja,Positif
175,CR,2021-12-03 8:48:05,Jelas ..,Positif
176,FMS,2021-12-03 8:50:45,Oke aja sih. Cuma kadang suka error' ngga kedetek dan terlalu sering updated,Negatif
177,AA,2021-12-03 8:54:28,Sangat kecewa sertifikat vaksin pertama dan kedua belum keluar sampai sekarang mohon pencerahannya admin,Negatif
178,MW,2021-12-03 9:04:00,Menuh²in Hp,Negatif
179,AS,2021-12-03 9:08:24,Payah...tak mau tampilkan sertifikat vaksin ku,Negatif
180,TI,2021-12-03 9:09:56,Masa saat mau ngambil sertifikat vaksin selalu keluar aplikasi,Negatif
181,DR,2021-12-03 9:11:31,Aplikasi nya payah jelekkkkkkk bangetttttttt...........gak bisa nyimpan tgl lahir parah sangat jelekkkkkkk,Negatif
182,ES,2021-12-03 9:11:52,Cakep,Positif
183,TA,2021-12-03 9:12:00,Oke,Positif
184,SKJ,2021-12-03 9:17:06,Dah gak laku tolol pula Worst app in the world,Negatif
185,M,2021-12-03 9:17:10,"Sebenarnya untuk apa ya apk. ini vaksin pertama & kedua saya ga muncul²!!! Baik via SMS, E-mail, WA, Apk. Sama aja😡",Negatif
186,DW,2021-12-03 9:23:55,Ga bisa nge cek sertifikat vaksin nih admin gmna,Negatif
187,RAL,2021-12-03 9:31:16,Bgs bet wk,Positif
188,OO,2021-12-03 9:31:55,oke,Positif
189,AA,2021-12-03 9:39:52,Saling menjaga dan melindungi agar semua sehat masyarakat sehat keluarga sehat,Positif
190,EM,2021-12-03 9:40:38,Mau klaim sertifikat aja susah.,Negatif
191,IS,2021-12-03 9:46:18,Bagus,Positif
192,L,2021-12-03 9:56:07,apakah vaksin melalui peduli lindungi di kenakan traif?,Positif
193,TH,2021-12-03 9:56:14,bagus,Positif
194,IS,2021-12-03 9:56:38,Sangat menbatu aktivitas sehari hari,Positif
195,AO,2021-12-03 9:56:41,Puas,Positif
196,YA,2021-12-03 9:58:09,Sangat membantu,Positif
197,BTH,2021-12-03 9:58:19,Baik sekali,Positif
198,MD,2021-12-03 9:59:06,"Jadi mudah pergi kemana""",Positif
199,HK,2021-12-03 10:00:48,sampe sekarang gak dapat sertifikat vaksin oiii kalo gak becus bikin program beginian gak usah dipaksa kemana2 harus ada surat paksin .. nyesel gw ikut vaksin bukan karna gw takut kolorna tapi krna kerjaan .. kalo ga karna kebutuhan udah gw uninstal ini,Negatif
200,RR,2021-12-03 10:04:06,Saya tidak bisa login,Negatif
201,HS,2021-12-03 10:05:26,👍👍👍👍,Positif
202,LHS,2021-12-03 10:05:39,Vaksin pertama telahmuncul tinggal vaksin kedua namun nntinya saya kasih bintang penuh setelah siap terbit.,Positif
203,YY,2021-12-03 10:08:34,Aplikasi jelek banget susah bikin tgl lhr,Negatif
204,BC,2021-12-03 10:19:06,Sudah di vaksin 2 kali tapi sertifikat tidak muncul,Negatif
205,SM,2021-12-03 10:23:13,Tdk bsa download,Negatif
206,JS,2021-12-03 10:23:48,Good,Positif
207,FA,2021-12-03 10:28:41,Good,Positif
208,WKK,2021-12-03 10:31:06,Oke,Positif
209,JB,2021-12-03 10:34:10,"Saya sudah vaksin ke 2 tp sertivikatnya gk ada, yang vaksin pertama sertivikatnya ada gimana sih",Negatif
210,HA,2021-12-03 10:39:56,"Lumayan terbantu dengan aplikasi ini. Sekedar saran,mohon di tambah fitur atau menu menghapus sertipikat yang tidak di inginkan. Soalnya dari operator salah menginput nomer telpon,sehingga sertipikat orang lain ada di tempat saya",Positif
211,FA,2021-12-03 10:48:19,"Saya sudah divaksin , tapi di status nya masih merah (belum vaksin) padahal udah ada sertifikat vaksinnya .. Jadi gabisa kmna"" deh !",Negatif
212,IY,2021-12-03 10:48:31,Susah sekali daftarnya padahal sudah DIISI SEMUA..APANYA YANG USERNAME BELUM DIISI??????,Negatif
213,WD,2021-12-03 10:48:33,Sertifikat kedua gak muncul,Negatif
214,JS,2021-12-03 10:48:54,Setara jendral,Positif
215,RG,2021-12-03 10:49:44,Watepake Meen:v,Negatif
216,FA,2021-12-03 10:53:43,Bagus aja,Positif
217,UTT,2021-12-03 10:56:12,Layanan chat WA gak di balas dengan memuaskan,Negatif
218,MB,2021-12-03 10:57:20,Terima kasih.. indonesia.,Positif
219,BM,2021-12-03 11:02:22,"Setiap pemerintah bikin aplikasi pasti, gak jelas.. padahal input udah benar semua.. capta sudah oke tinggal klaim.. coba lagi besok... Eek lah...",Negatif
220,NG,2021-12-03 11:03:12,Sertifikat saya tidak muncul diaplikasi,Negatif
221,YR,2021-12-03 11:06:36,Ok,Positif
222,FK,2021-12-03 11:08:11,Makin parah gak bisa login Sertivikat vaksin gak keluar semua,Negatif
223,RS,2021-12-03 11:08:22,"Aplikasi bego,susah",Negatif
224,ET,2021-12-03 11:12:24,Apk ini sangat bagus memberi informasi akurat ttg covid 19 & sangat membantu saya utk menunjukan Sertifikat Vaksin,Positif
225,AW,2021-12-03 11:23:55,jelek,Negatif
226,TNS,2021-12-03 11:30:06,"Masa download sertifikat vaksin gak bisa bisa, kalau diklik download sertifikat malah keluar dari aplikasi.",Negatif
227,DF,2021-12-03 11:30:43,👍👍...,Positif
228,SY,2021-12-03 11:31:48,Ribet ngisi datanya,Negatif
229,K,2021-12-03 11:31:54,Jelek,Negatif
230,MF,2021-12-03 11:35:35,Mempermudah,Positif
231,AK,2021-12-03 11:37:35,"Ketika saya pencet setifikat vaksin, tapi sertifikat vaksin saya tidak terlihat. Tolong di perbaiki",Negatif
232,MR,2021-12-03 11:43:31,Bagus bisa bantu pencegahan covid 19,Positif
233,IR,2021-12-03 11:46:38,Aplikasi bnyak error gk bisa chek out,Negatif
234,SA,2021-12-03 11:49:42,Sangat bagus banget,Positif
235,EP,2021-12-03 11:52:03,Eror,Negatif
236,S,2021-12-03 11:56:39,Sudah seminggu vaksin pertama tapi status di aplikasi masih merah,Negatif
237,TP,2021-12-03 12:02:55,Kurang,Negatif
238,YG,2021-12-03 12:03:06,Mohon defoloperya sayakok gak depet kodeferifikasi ya padahal saya satu langkah lagi dapet sertifikat faksin malah kodenya gk muncul,Negatif
239,S,2021-12-03 12:12:23,Sudah bisa digunakan di semua lcd hp,Positif
240,YS,2021-12-03 12:14:25,certifikat susah d download,Negatif
241,GG,2021-12-03 12:18:40,Sertifikat saya ga bisa muncul,Negatif
242,AB,2021-12-03 12:22:39,Sangat berguna sekali,Positif
243,SMC,2021-12-03 12:22:54,"Aplikasinya jelek bgt . setelah masuk daftar ko tiba-tiba kembali dan ga bisa di buka sih..!!""",Negatif
244,ISO,2021-12-03 12:23:05,Bagus,Positif
245,LD,2021-12-03 12:24:58,Bagus. Ada peningkatan tampilan yang lebih sederhana dari versi sebelumnya👍,Positif
246,SP,2021-12-03 12:26:57,Rasa kecewa tdk mau diDonloat,Negatif
247,RF,2021-12-03 12:27:04,Aplikasi goblokkk Masa saya mencet sertifikat faksin ga muncul²,Negatif
248,YBU,2021-12-03 12:28:05,Saya cari sertifikat vaksin malah gak ada,Negatif
249,CA,2021-12-03 12:32:05,"Udah di vaksin dosis pertama tapi status warna masih merah, ga bisa di rubah pula status warnanya jadi kuning gitu. Padahal sertifikatnya pun udah tertera di apps ini.",Negatif
250,TA,2021-12-03 12:32:21,Sangat bermanfaat buat rakyat dan bangsa,Positif
251,T,2021-12-03 12:33:07,Siplaa,Positif
252,IK,2021-12-03 12:33:56,Kesel gagal terus.. mau brp kali login eror..terus..sekelas kementerian Negara bidang Kesehatan...masa ga ada IT support yg qualified sih utk membuat aplikasi ini lebih sederhana dan gampang diakses dan diaplikasikan.. masa kalah sama aplikasi online yg lain.. maaf yaah ga akan kasi bintang..fix it segera...dan satu lagi tolong aflikasinya disetting utk bisa di rotate..trima kasih,Negatif
253,DW,2021-12-03 12:34:26,Cakepp,Positif
254,SF,2021-12-03 12:38:53,Sungguh bagus,Positif
255,SKW,2021-12-03 12:46:49,Cacat kameranyaa,Negatif
